"LookupType","Id","NameEN","NameAR","UniqueId"
"DataSources","d03fdfc3-7d22-47bb-9ca5-0c95f5191aab","Qatar Airways","الخطوط الجوية القطرية","qa"
"DataSources","147da856-dcc2-4e84-b8ae-dfaf95efb2aa","Qatar Central Bank","مصرف قطر المركزي","qcb"
"DataSources","8686a5c3-72a6-4834-8ce9-11fe0479a77a","Qatar Chamber","غرفة تجارة وصناعة قطر",""
"DataSources","715a432f-ca97-42dc-a3ab-b2a1dcee2b2a","Qatar Development Bank","بنك قطر للتنمية","qdb"
"DataSources","3f90b83e-ac32-4c3d-afbd-ad3c31276dfe","Qatar Financial Center","مركز قطر للمال",""
"DataSources","e715ec0d-3afc-499b-a974-b4679a4e2ca0","Qatar Free Zone","منطقة قطر الحرة",""
"DataSources","cac1b017-ba43-44b3-8578-5871b0a52999","Qatar Stock Exchange","بورصة قطر","qs"
"DataSources","6923fe2e-03f2-459b-817c-a1b94d592f95","Qatar Tourism","قطر للسياحة","qt"
"DataSources","1ec2c7b9-d67f-40e1-bd55-772b1b05d539","S&P Rating","موديز، ستاندرد آند بورز، فيتش","spr"
"DataSources","52d753bd-6120-4bd3-8806-026f90a4e659","UNCTAD","مؤتمر الأمم المتحدة للتجارة والتنمية","unctad"
"DataSources","02f1cfc6-972e-423d-bfd9-78c787b7831a","United Nations","الأمم المتحدة","un"
"DataSources","7b6b36f5-6ab8-4484-9640-08de9e18951b","United States Department of Geological Survey","دائرة المسح الجيولوجي الأمريكية","unitedstatesdepartmentofgeologicalsurvey"
"DataSources","ed3892f4-3f5f-4085-b005-51e74b745219","Unknown","غير معروف",""
"DataSources","7e05a934-023e-4dce-9e97-f38b98f2b55d","World Bank","البنك الدولي","worldbank"
"DataSources","8fa3b035-21e0-48cf-87ce-4c3f34a64137","World Economic Forum","المنتدى الاقتصادي العالمي","wef"
"DataSources","88bd09c0-f20d-41e6-92b9-0d57ddd73bcc","World Health Organization","منظمة الصحة العالمية","who"
"DataSources","e8901fdc-ee6a-4d68-979e-7a05b06cf6b4","World Trade Organization","منظمة التجارة العالمية","wto"
"DataSources","35717750-be12-4c39-9d79-1ee252194666","اللجنة الوطنية لنظام التخليص الجمركي وتيسير التجارة عبر الحدود","اللجنة الوطنية لنظام التخليص الجمركي وتيسير التجارة عبر الحدود",""
"DataSources","cf69862d-4d57-4fa6-8dbb-7e492aca23ed","مطار حمد الدولي","مطار حمد الدولي",""
"IndicatorTypes","9e884d56-31ee-4708-b724-25bca42205c7","Drivers","السائقين","drivers"
"IndicatorTypes","e93a7eb3-66db-4869-9543-dad2ffa98e81","Economic Diversification Targets","أهداف التنويع الاقتصادي","economicdiversificationtargets"
"IndicatorTypes","43193c15-058d-4124-a152-aec091e2f2b4","Enablers","عوامل التمكين","enablers"
"IndicatorTypes","a556e8f5-d8ed-42ed-8d48-73a69430781e","General Entity Indicator","كيان عام","generalentityindicator"
"IndicatorTypes","31c7e4b7-7d30-4576-b683-d5fc7aa05a6b","National Indicator","المؤشرات الوطنية","nationalindicator"
"IndicatorTypes","d4021384-4690-4a13-9ee6-fa63aef5d4f1","Program Indicator","برنامج","programindicator"
"IndicatorTypes","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator"
"IndicatorTypes","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities"
"IndicatorTypes","5c103a27-3fbf-4115-a3a8-98ad20d19599","Special Projects","مشاريع خاصة","specialprojects"
"InputMethods","086235a4-0f6b-48d1-8de3-11218bbbf1fd","Data Warehouse","مستودع البيانات","dwh"
"InputMethods","bd97dbc1-d851-4d3e-b368-ff98b646b4ab","Import","استيراد","excel-import"
"InputMethods","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual"
"Intervals","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly"
"Intervals","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly"
"Intervals","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly"
"Polarities","6b8715ba-be56-493a-8b21-28c104b71b6d","Decrease","انخفاض","decrease"
"Polarities","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase"
"Units","a4ede074-5957-46ab-a6e6-341e291f2080","%","%","%"
"Units","88091a99-c3d2-4386-93c4-58bbc6865b60","B","B","B"
"Units","44e41f4e-d54d-495d-b015-8153bffaeeb5","Beds","أسرّة","Beds"
"Units","961dcb1d-b0c4-4e66-8434-8c75e6bb4d12","bn","مليار","bn"
"Units","1c948c21-21b6-426d-8aa0-b1fb90f3c1f9","bn QAR","مليار رق","bn QAR"
"Units","911c48c2-1b06-4040-ae84-08de9ea7c422","bn USD","مليار دولار أمريكي","bnusd"
"Units","5e24f511-6437-4029-8dee-1c0ec8e3d0ae","CO2e","مكافئ ثاني أكسيد الكربون","co2e"
"Units","b9f8781d-0b45-40de-a476-7d3e1ffdfca2","companies","شركات","companies"
"Units","0c1bc285-c520-4bcf-bb1e-e8781f8de6ce","Company","شركة","Company"
"Units","6666d77f-957a-4a59-92d4-ba482e3b9ecc","Count","العدد","count"
"Units","10a873d7-93c4-4e46-925f-836ebd7351ae","days","أيام","days"
"Units","8c43c073-47a2-401e-a39e-96f51e389dc4","employee","موظف","employee"
"Units","192865ef-9740-49ab-a03c-6a37f75fab18","employees","موظفين","employees"
"Units","a2b76674-47a4-4f4b-a3a4-d2eb31cf1948","Hours","ساعات","hours"
"Units","c9d8c782-1af7-42b0-ae83-08de9ea7c422","Index","فهرس","index"
"Units","c1907401-bfdb-41f3-7251-08deb96881bd","Index Points","نقطة مؤشر","indexpoints"
"Units","3c9147a8-c1eb-49dd-986e-0aefed188abc","jobs","وظائف","jobs"
"Units","2e7c1cb7-7616-4f76-b5ae-0f7a4d681c0b","k","ألف","k"
"Units","bfdad8d6-b479-4214-b5f1-0d7c8cc27c0d","k QAR","ألف ريال قطري","k QAR"
"Units","7e29dc70-a806-4347-94a5-2069dc0cb086","m","مليون","m"
"Units","7a6949dc-7eb7-4c0d-b2eb-24b56c8fdb76","m MT","مليون طن","mmt"
"Units","b4689657-7066-4e3c-a609-fa59fb68104c","m QAR","مليون ريال قطري","m QAR"
"Units","d48e8472-a5fa-49aa-ac35-9168641e1076","m USD","مليون دولار أمريكي","musd"
"Units","d39745e1-ca4a-4e72-bfe9-ec78a38618a2","M3/MT","متر مكعب لكل طن متري","m3/mt"
"Units","b6a092c6-d38e-412b-c7d7-08de9e193c65","million m³","million m³","millionm³"
"Units","9cb4fbc2-44c0-4be7-a815-7d204918c930","million ton-km","مليون طن-كيلومتر","milliontonkm"
"Units","9fbac876-c184-4f6e-2cc5-08de0ba69837","months","أشهر","months"
"Units","7eb38c6f-544c-4fb3-99ba-780a7672afa3","MT","طن متري","mt"
"Units","e0c82b78-a9c1-484a-b3d0-08703fa5176f","MT/ha","طن متري لكل هكتار","mt/ha"
"Units","3d027509-2bb6-4915-b218-63311478fc3a","NA","غير متاح","NA"
"Units","2005424e-ed64-4d9d-bd19-60adf71a7746","project","مشروع","project"
"Units","d36bb297-546c-4cf3-b612-250b130d7bf4","Q","كمية","q"
"Units","06b275ce-19b8-4d37-96bd-c0d58533add9","QAR","ر.ق","qar"
"Units","8bff6dcb-b878-4602-8580-62f9f223958a","Rank","الترتيب","rank"
"Units","dc110df8-2d6e-4729-9565-826faf2248a5","season","موسم","season"
"Units","02390f59-8629-435d-926e-df69e34d9136","square meters","متر مربع","square meters"
"Units","f828a328-af4b-481e-9d4f-7c2d88491b5e","square meters","متر مربع","m²"
"Units","36511597-8f03-4551-9308-758d0bbde640","TEUs","وحدات مكافئة لعشرين قدم","teus"
"Units","2bf92bc1-42b3-487c-b1f6-a04ee1c096dd","Tier","الطبقة","tier"
"Units","0f3b7b96-5555-4fed-4cc0-08deaa09b3cb","Tonnes","أطنان","tonnes"
"Units","8037038f-c230-4b1c-8e15-9d179cdcc01f","USD","دولار أمريكي","usd"
"ValidationChecks","49127589-89c7-480a-810c-7cb6ffa8b38a","Accuracy","دقة","accuracy"
"ValidationChecks","80e380e8-14d0-421f-b0f9-2ef260d775d9","Coherence","تناسق","coherence"
"ValidationChecks","f096bff6-c613-4eba-926a-e257f7329842","Cross examinations","استجوابات متقاطعة","crossexaminations"
"ValidationChecks","7e771838-02cc-43d1-9c5a-232ae0bbc374","Delivery Chain Feedback","تعليقات سلسلة التسليم","deliverychainfeedback"
"ValidationChecks","fdaea5ee-6382-471e-92db-c2470af87435","Site Visit","زيارة ميدانية","sitevisit"
"ValidationChecks","1d4f2bf5-f70c-41c8-81b4-daa246d7ddde","Supporting Evidence","أدلة داعمة","supportingevidence"
"ValidationChecks","f0af4158-8e45-48c8-9b5f-892274614f3d","User Feedback","تعليقات المستخدم","userfeedback"
"ValueTypes","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric"
"ValueTypes","5834adc0-5ca2-42f1-8023-36b23ef65efc","Text","نصية","text"
